date,crop_name,region,demand_kg
2024-01-03,okra,Tuticorin,246.0
2024-01-03,okra,Tenkasi,234.3
2024-01-04,tomato,Tirunelveli,419.0
2024-01-04,tomato,Madurai,443.1
2024-01-04,tomato,Nagercoil,464.1
2024-01-04,tomato,Tuticorin,448.9
2024-01-04,tomato,Tenkasi,423.7
2024-01-04,brinjal,Tirunelveli,291.3
2024-01-04,brinjal,Madurai,268.3
2024-01-04,brinjal,Nagercoil,289.3
2024-01-04,brinjal,Tuticorin,267.6
2024-01-04,brinjal,Tenkasi,282.1
2024-01-04,onion,Tirunelveli,374.6
2024-01-04,onion,Madurai,375.1
2024-01-04,onion,Nagercoil,353.7
2024-01-04,onion,Tuticorin,395.2
2024-01-04,onion,Tenkasi,392.4
2024-01-04,carrot,Tirunelveli,228.5
2024-01-04,carrot,Madurai,225.5
2024-01-04,carrot,Nagercoil,204.8
2024-01-04,carrot,Tuticorin,239.3
2024-01-04,carrot,Tenkasi,239.9
2024-01-04,cabbage,Tirunelveli,182.2
2024-01-04,cabbage,Madurai,208.6
2024-01-04,cabbage,Nagercoil,215.5
2024-01-04,cabbage,Tuticorin,188.6
2024-01-04,cabbage,Tenkasi,192.1
2024-01-04,potato,Tirunelveli,340.7
2024-01-04,potato,Madurai,299.8
2024-01-04,potato,Nagercoil,308.2
2024-01-04,potato,Tuticorin,310.2
2024-01-04,potato,Tenkasi,294.1
2024-01-04,beans,Tirunelveli,186.7
2024-01-04,beans,Madurai,125.2
2024-01-04,beans,Nagercoil,171.9
2024-01-04,beans,Tuticorin,181.2
2024-01-04,beans,Tenkasi,159.1
2024-01-04,okra,Tirunelveli,228.6
2024-01-04,okra,Madurai,246.7
2024-01-04,okra,Nagercoil,242.0
2024-01-04,okra,Tuticorin,262.1
2024-01-04,okra,Tenkasi,189.4
2024-01-05,tomato,Tirunelveli,421.6
2024-01-05,tomato,Madurai,451.2
2024-01-05,tomato,Nagercoil,441.0
2024-01-05,tomato,Tuticorin,455.0
2024-01-05,tomato,Tenkasi,445.2
2024-01-05,brinjal,Tirunelveli,272.3
2024-01-05,brinjal,Madurai,269.0
2024-01-05,brinjal,Nagercoil,321.5
2024-01-05,brinjal,Tuticorin,305.7
2024-01-05,brinjal,Tenkasi,284.9
2024-01-05,onion,Tirunelveli,386.6
2024-01-05,onion,Madurai,395.8
2024-01-05,onion,Nagercoil,401.5
2024-01-05,onion,Tuticorin,393.4
2024-01-05,onion,Tenkasi,370.0
2024-01-05,carrot,Tirunelveli,255.7
2024-01-05,carrot,Madurai,224.9
2024-01-05,carrot,Nagercoil,260.3
2024-01-05,carrot,Tuticorin,223.7
2024-01-05,carrot,Tenkasi,215.1
2024-01-05,cabbage,Tirunelveli,225.7
2024-01-05,cabbage,Madurai,204.0
2024-01-05,cabbage,Nagercoil,200.7
2024-01-05,cabbage,Tuticorin,174.0
2024-01-05,cabbage,Tenkasi,211.2
2024-01-05,potato,Tirunelveli,320.1
2024-01-05,potato,Madurai,321.0
2024-01-05,potato,Nagercoil,320.2
2024-01-05,potato,Tuticorin,338.8
2024-01-05,potato,Tenkasi,299.3
2024-01-05,beans,Tirunelveli,160.8
2024-01-05,beans,Madurai,184.6
2024-01-05,beans,Nagercoil,140.1
2024-01-05,beans,Tuticorin,168.5
2024-01-05,beans,Tenkasi,152.4
2024-01-05,okra,Tirunelveli,233.9
2024-01-05,okra,Madurai,275.1
2024-01-05,okra,Nagercoil,209.0
2024-01-05,okra,Tuticorin,257.3
2024-01-05,okra,Tenkasi,232.4
2024-01-06,tomato,Tirunelveli,495.4
2024-01-06,tomato,Madurai,483.8
2024-01-06,tomato,Nagercoil,521.1
2024-01-06,tomato,Tuticorin,502.2
2024-01-06,tomato,Tenkasi,499.6
2024-01-06,brinjal,Tirunelveli,318.4
2024-01-06,brinjal,Madurai,312.8
2024-01-06,brinjal,Nagercoil,276.2
2024-01-06,brinjal,Tuticorin,306.4
2024-01-06,brinjal,Tenkasi,334.2
2024-01-06,onion,Tirunelveli,412.6
2024-01-06,onion,Madurai,421.0
2024-01-06,onion,Nagercoil,434.2
2024-01-06,onion,Tuticorin,428.2
2024-01-06,onion,Tenkasi,442.2
2024-01-06,carrot,Tirunelveli,231.1
2024-01-06,carrot,Madurai,245.2
2024-01-06,carrot,Nagercoil,252.0
2024-01-06,carrot,Tuticorin,266.0
2024-01-06,carrot,Tenkasi,277.9
2024-01-06,cabbage,Tirunelveli,222.5
2024-01-06,cabbage,Madurai,265.5
2024-01-06,cabbage,Nagercoil,224.0
2024-01-06,cabbage,Tuticorin,244.3
2024-01-06,cabbage,Tenkasi,266.3
2024-01-06,potato,Tirunelveli,382.3
2024-01-06,potato,Madurai,352.0
2024-01-06,potato,Nagercoil,381.3
2024-01-06,potato,Tuticorin,367.3
2024-01-06,potato,Tenkasi,374.0
2024-01-06,beans,Tirunelveli,229.4
2024-01-06,beans,Madurai,165.3
2024-01-06,beans,Nagercoil,195.8
2024-01-06,beans,Tuticorin,172.2
2024-01-06,beans,Tenkasi,183.6
2024-01-06,okra,Tirunelveli,293.2
2024-01-06,okra,Madurai,284.7
2024-01-06,okra,Nagercoil,273.8
2024-01-06,okra,Tuticorin,265.3
2024-01-06,okra,Tenkasi,284.6
2024-01-07,tomato,Tirunelveli,540.2
2024-01-07,tomato,Madurai,488.0
2024-01-07,tomato,Nagercoil,544.2
2024-01-07,tomato,Tuticorin,530.0
2024-01-07,tomato,Tenkasi,533.4
2024-01-07,brinjal,Tirunelveli,322.4
2024-01-07,brinjal,Madurai,339.7
2024-01-07,brinjal,Nagercoil,296.1
2024-01-07,brinjal,Tuticorin,302.9
2024-01-07,brinjal,Tenkasi,331.6
2024-01-07,onion,Tirunelveli,448.7
2024-01-07,onion,Madurai,439.8
2024-01-07,onion,Nagercoil,392.7
2024-01-07,onion,Tuticorin,434.0
2024-01-07,onion,Tenkasi,419.3
2024-01-07,carrot,Tirunelveli,262.9
2024-01-07,carrot,Madurai,249.2
2024-01-07,carrot,Nagercoil,240.4
2024-01-07,carrot,Tuticorin,305.9
2024-01-07,carrot,Tenkasi,273.8
2024-01-07,cabbage,Tirunelveli,248.8
2024-01-07,cabbage,Madurai,271.7
2024-01-07,cabbage,Nagercoil,243.7
2024-01-07,cabbage,Tuticorin,212.3
2024-01-07,cabbage,Tenkasi,209.9
2024-01-07,potato,Tirunelveli,398.8
2024-01-07,potato,Madurai,338.3
2024-01-07,potato,Nagercoil,377.9
2024-01-07,potato,Tuticorin,336.1
2024-01-07,potato,Tenkasi,381.5
2024-01-07,beans,Tirunelveli,206.8
2024-01-07,beans,Madurai,195.3
2024-01-07,beans,Nagercoil,208.5
2024-01-07,beans,Tuticorin,229.0
2024-01-07,beans,Tenkasi,186.9
2024-01-07,okra,Tirunelveli,334.5
2024-01-07,okra,Madurai,282.6
2024-01-07,okra,Nagercoil,297.3
2024-01-07,okra,Tuticorin,266.1
2024-01-07,okra,Tenkasi,310.7
2024-01-08,tomato,Tirunelveli,460.8
2024-01-08,tomato,Madurai,469.4
2024-01-08,tomato,Nagercoil,441.1
2024-01-08,tomato,Tuticorin,414.9
2024-01-08,tomato,Tenkasi,449.2
2024-01-08,brinjal,Tirunelveli,241.1
2024-01-08,brinjal,Madurai,268.3
2024-01-08,brinjal,Nagercoil,278.8
2024-01-08,brinjal,Tuticorin,322.5
2024-01-08,brinjal,Tenkasi,281.4
2024-01-08,onion,Tirunelveli,387.8
2024-01-08,onion,Madurai,383.7
2024-01-08,onion,Nagercoil,358.2
2024-01-08,onion,Tuticorin,386.7
2024-01-08,onion,Tenkasi,387.1
2024-01-08,carrot,Tirunelveli,200.6
2024-01-08,carrot,Madurai,196.3
2024-01-08,carrot,Nagercoil,210.4
2024-01-08,carrot,Tuticorin,221.3
2024-01-08,carrot,Tenkasi,210.8
2024-01-08,cabbage,Tirunelveli,177.0
2024-01-08,cabbage,Madurai,203.8
2024-01-08,cabbage,Nagercoil,208.8
2024-01-08,cabbage,Tuticorin,200.4
2024-01-08,cabbage,Tenkasi,186.7
2024-01-08,potato,Tirunelveli,341.9
2024-01-08,potato,Madurai,326.2
2024-01-08,potato,Nagercoil,306.2
2024-01-08,potato,Tuticorin,350.7
2024-01-08,potato,Tenkasi,337.1
2024-01-08,beans,Tirunelveli,162.6
2024-01-08,beans,Madurai,133.6
2024-01-08,beans,Nagercoil,150.1
2024-01-08,beans,Tuticorin,205.4
2024-01-08,beans,Tenkasi,134.8
2024-01-08,okra,Tirunelveli,237.0
2024-01-08,okra,Madurai,241.7
2024-01-08,okra,Nagercoil,248.4
2024-01-08,okra,Tuticorin,212.1
2024-01-08,okra,Tenkasi,245.5
2024-01-09,tomato,Tirunelveli,406.3
2024-01-09,tomato,Madurai,441.9
2024-01-09,tomato,Nagercoil,427.0
2024-01-09,tomato,Tuticorin,422.7
2024-01-09,tomato,Tenkasi,456.7
2024-01-09,brinjal,Tirunelveli,270.3
2024-01-09,brinjal,Madurai,284.5
2024-01-09,brinjal,Nagercoil,285.1
2024-01-09,brinjal,Tuticorin,300.4
2024-01-09,brinjal,Tenkasi,250.8
2024-01-09,onion,Tirunelveli,403.4
2024-01-09,onion,Madurai,385.3
2024-01-09,onion,Nagercoil,377.4
2024-01-09,onion,Tuticorin,362.0
2024-01-09,onion,Tenkasi,397.1
2024-01-09,carrot,Tirunelveli,201.6
2024-01-09,carrot,Madurai,230.4
2024-01-09,carrot,Nagercoil,258.6
2024-01-09,carrot,Tuticorin,239.6
2024-01-09,carrot,Tenkasi,247.8
2024-01-09,cabbage,Tirunelveli,183.6
2024-01-09,cabbage,Madurai,213.3
2024-01-09,cabbage,Nagercoil,175.1
2024-01-09,cabbage,Tuticorin,193.3
2024-01-09,cabbage,Tenkasi,232.8
2024-01-09,potato,Tirunelveli,317.8
2024-01-09,potato,Madurai,352.2
2024-01-09,potato,Nagercoil,350.3
2024-01-09,potato,Tuticorin,351.5
2024-01-09,potato,Tenkasi,304.7
2024-01-09,beans,Tirunelveli,175.5
2024-01-09,beans,Madurai,161.9
2024-01-09,beans,Nagercoil,186.8
2024-01-09,beans,Tuticorin,131.9
2024-01-09,beans,Tenkasi,172.4
2024-01-09,okra,Tirunelveli,246.5
2024-01-09,okra,Madurai,202.2
2024-01-09,okra,Nagercoil,224.3
2024-01-09,okra,Tuticorin,205.4
2024-01-09,okra,Tenkasi,227.5
2024-01-10,tomato,Tirunelveli,451.0
2024-01-10,tomato,Madurai,443.9
2024-01-10,tomato,Nagercoil,443.4
2024-01-10,tomato,Tuticorin,419.2
2024-01-10,tomato,Tenkasi,462.4
2024-01-10,brinjal,Tirunelveli,274.6
2024-01-10,brinjal,Madurai,275.7
2024-01-10,brinjal,Nagercoil,293.8
2024-01-10,brinjal,Tuticorin,255.2
2024-01-10,brinjal,Tenkasi,279.6
2024-01-10,onion,Tirunelveli,393.5
2024-01-10,onion,Madurai,374.1
2024-01-10,onion,Nagercoil,398.0
2024-01-10,onion,Tuticorin,394.5
2024-01-10,onion,Tenkasi,383.0
2024-01-10,carrot,Tirunelveli,217.4
2024-01-10,carrot,Madurai,230.5
2024-01-10,carrot,Nagercoil,235.8
2024-01-10,carrot,Tuticorin,221.3
2024-01-10,carrot,Tenkasi,242.4
2024-01-10,cabbage,Tirunelveli,211.2
2024-01-10,cabbage,Madurai,162.2
2024-01-10,cabbage,Nagercoil,169.9
2024-01-10,cabbage,Tuticorin,221.6
2024-01-10,cabbage,Tenkasi,193.1
2024-01-10,potato,Tirunelveli,333.3
2024-01-10,potato,Madurai,352.8
2024-01-10,potato,Nagercoil,329.9
2024-01-10,potato,Tuticorin,330.7
2024-01-10,potato,Tenkasi,312.6
2024-01-10,beans,Tirunelveli,172.4
2024-01-10,beans,Madurai,176.7
2024-01-10,beans,Nagercoil,153.4
2024-01-10,beans,Tuticorin,146.6
2024-01-10,beans,Tenkasi,217.5
2024-01-10,okra,Tirunelveli,240.1
2024-01-10,okra,Madurai,228.3
2024-01-10,okra,Nagercoil,256.1
2024-01-10,okra,Tuticorin,241.0
2024-01-10,okra,Tenkasi,220.3
2024-01-11,tomato,Tirunelveli,449.7
2024-01-11,tomato,Madurai,422.9
2024-01-11,tomato,Nagercoil,471.5
2024-01-11,tomato,Tuticorin,449.9
2024-01-11,tomato,Tenkasi,434.5
2024-01-11,brinjal,Tirunelveli,277.2
2024-01-11,brinjal,Madurai,293.1
2024-01-11,brinjal,Nagercoil,278.7
2024-01-11,brinjal,Tuticorin,317.4
2024-01-11,brinjal,Tenkasi,297.7
2024-01-11,onion,Tirunelveli,394.8
2024-01-11,onion,Madurai,366.3
2024-01-11,onion,Nagercoil,382.1
2024-01-11,onion,Tuticorin,394.6
2024-01-11,onion,Tenkasi,368.5
2024-01-11,carrot,Tirunelveli,245.9
2024-01-11,carrot,Madurai,200.5
2024-01-11,carrot,Nagercoil,207.3
2024-01-11,carrot,Tuticorin,208.8
2024-01-11,carrot,Tenkasi,234.9
2024-01-11,cabbage,Tirunelveli,181.9
2024-01-11,cabbage,Madurai,162.0
2024-01-11,cabbage,Nagercoil,219.8
2024-01-11,cabbage,Tuticorin,189.1
2024-01-11,cabbage,Tenkasi,176.6
2024-01-11,potato,Tirunelveli,314.9
2024-01-11,potato,Madurai,364.3
2024-01-11,potato,Nagercoil,316.9
2024-01-11,potato,Tuticorin,327.5
2024-01-11,potato,Tenkasi,321.1
2024-01-11,beans,Tirunelveli,140.3
2024-01-11,beans,Madurai,150.1
2024-01-11,beans,Nagercoil,139.0
2024-01-11,beans,Tuticorin,184.1
2024-01-11,beans,Tenkasi,167.0
2024-01-11,okra,Tirunelveli,291.7
2024-01-11,okra,Madurai,227.8
2024-01-11,okra,Nagercoil,224.8
2024-01-11,okra,Tuticorin,272.7
2024-01-11,okra,Tenkasi,263.2
2024-01-12,tomato,Tirunelveli,447.7
2024-01-12,tomato,Madurai,417.7
2024-01-12,tomato,Nagercoil,474.9
2024-01-12,tomato,Tuticorin,438.6
2024-01-12,tomato,Tenkasi,431.4
2024-01-12,brinjal,Tirunelveli,297.9
2024-01-12,brinjal,Madurai,274.6
2024-01-12,brinjal,Nagercoil,251.7
2024-01-12,brinjal,Tuticorin,275.8
2024-01-12,brinjal,Tenkasi,259.4
2024-01-12,onion,Tirunelveli,324.8
2024-01-12,onion,Madurai,367.4
2024-01-12,onion,Nagercoil,374.4
2024-01-12,onion,Tuticorin,361.9
2024-01-12,onion,Tenkasi,396.5
2024-01-12,carrot,Tirunelveli,204.5
2024-01-12,carrot,Madurai,229.6
2024-01-12,carrot,Nagercoil,195.3
2024-01-12,carrot,Tuticorin,238.2
2024-01-12,carrot,Tenkasi,194.5
2024-01-12,cabbage,Tirunelveli,151.2
2024-01-12,cabbage,Madurai,222.7
2024-01-12,cabbage,Nagercoil,180.9
2024-01-12,cabbage,Tuticorin,233.1
2024-01-12,cabbage,Tenkasi,209.3
2024-01-12,potato,Tirunelveli,345.8
2024-01-12,potato,Madurai,350.9
2024-01-12,potato,Nagercoil,332.3
2024-01-12,potato,Tuticorin,332.5
2024-01-12,potato,Tenkasi,355.6
2024-01-12,beans,Tirunelveli,167.2
2024-01-12,beans,Madurai,150.4
2024-01-12,beans,Nagercoil,176.7
2024-01-12,beans,Tuticorin,122.7
2024-01-12,beans,Tenkasi,191.4
2024-01-12,okra,Tirunelveli,268.8
2024-01-12,okra,Madurai,266.0
2024-01-12,okra,Nagercoil,265.2
2024-01-12,okra,Tuticorin,240.3
2024-01-12,okra,Tenkasi,239.9
2024-01-13,tomato,Tirunelveli,481.4
2024-01-13,tomato,Madurai,541.0
2024-01-13,tomato,Nagercoil,496.3
2024-01-13,tomato,Tuticorin,512.8
2024-01-13,tomato,Tenkasi,511.1
2024-01-13,brinjal,Tirunelveli,289.4
2024-01-13,brinjal,Madurai,281.4
2024-01-13,brinjal,Nagercoil,316.4
2024-01-13,brinjal,Tuticorin,307.2
2024-01-13,brinjal,Tenkasi,314.5
2024-01-13,onion,Tirunelveli,464.1
2024-01-13,onion,Madurai,447.2
2024-01-13,onion,Nagercoil,457.9
2024-01-13,onion,Tuticorin,451.7
2024-01-13,onion,Tenkasi,436.4
2024-01-13,carrot,Tirunelveli,233.0
2024-01-13,carrot,Madurai,258.3
2024-01-13,carrot,Nagercoil,254.7
2024-01-13,carrot,Tuticorin,271.3
2024-01-13,carrot,Tenkasi,250.0
2024-01-13,cabbage,Tirunelveli,221.8
2024-01-13,cabbage,Madurai,223.1
2024-01-13,cabbage,Nagercoil,209.3
2024-01-13,cabbage,Tuticorin,256.6
2024-01-13,cabbage,Tenkasi,250.5
2024-01-13,potato,Tirunelveli,355.2
2024-01-13,potato,Madurai,395.6
2024-01-13,potato,Nagercoil,342.6
2024-01-13,potato,Tuticorin,399.2
2024-01-13,potato,Tenkasi,365.6
2024-01-13,beans,Tirunelveli,196.9
2024-01-13,beans,Madurai,151.2
2024-01-13,beans,Nagercoil,165.8
2024-01-13,beans,Tuticorin,199.1
2024-01-13,beans,Tenkasi,175.7
2024-01-13,okra,Tirunelveli,261.5
2024-01-13,okra,Madurai,306.2
2024-01-13,okra,Nagercoil,322.5
2024-01-13,okra,Tuticorin,297.0
2024-01-13,okra,Tenkasi,256.5
2024-01-14,tomato,Tirunelveli,541.3
2024-01-14,tomato,Madurai,474.8
2024-01-14,tomato,Nagercoil,499.9
2024-01-14,tomato,Tuticorin,507.1
2024-01-14,tomato,Tenkasi,544.5
2024-01-14,brinjal,Tirunelveli,334.5
2024-01-14,brinjal,Madurai,307.0
2024-01-14,brinjal,Nagercoil,297.4
2024-01-14,brinjal,Tuticorin,336.3
2024-01-14,brinjal,Tenkasi,305.6
2024-01-14,onion,Tirunelveli,447.1
2024-01-14,onion,Madurai,415.4
2024-01-14,onion,Nagercoil,454.1
2024-01-14,onion,Tuticorin,452.5
2024-01-14,onion,Tenkasi,417.9
2024-01-14,carrot,Tirunelveli,273.6
2024-01-14,carrot,Madurai,264.1
2024-01-14,carrot,Nagercoil,267.8
2024-01-14,carrot,Tuticorin,245.4
2024-01-14,carrot,Tenkasi,256.6
2024-01-14,cabbage,Tirunelveli,229.0
2024-01-14,cabbage,Madurai,224.7
2024-01-14,cabbage,Nagercoil,231.1
2024-01-14,cabbage,Tuticorin,252.8
2024-01-14,cabbage,Tenkasi,249.2
2024-01-14,potato,Tirunelveli,355.9
2024-01-14,potato,Madurai,399.2
2024-01-14,potato,Nagercoil,403.3
2024-01-14,potato,Tuticorin,376.5
2024-01-14,potato,Tenkasi,389.7
2024-01-14,beans,Tirunelveli,199.6
2024-01-14,beans,Madurai,172.8
2024-01-14,beans,Nagercoil,182.1
2024-01-14,beans,Tuticorin,204.8
2024-01-14,beans,Tenkasi,179.8
2024-01-14,okra,Tirunelveli,297.8
2024-01-14,okra,Madurai,304.4
2024-01-14,okra,Nagercoil,301.2
2024-01-14,okra,Tuticorin,317.9
2024-01-14,okra,Tenkasi,276.5
2024-01-15,tomato,Tirunelveli,443.5
2024-01-15,tomato,Madurai,446.4
2024-01-15,tomato,Nagercoil,438.8
2024-01-15,tomato,Tuticorin,450.8
2024-01-15,tomato,Tenkasi,405.8
2024-01-15,brinjal,Tirunelveli,279.1
2024-01-15,brinjal,Madurai,247.5
2024-01-15,brinjal,Nagercoil,255.7
2024-01-15,brinjal,Tuticorin,289.7
2024-01-15,brinjal,Tenkasi,271.0
2024-01-15,onion,Tirunelveli,399.0
2024-01-15,onion,Madurai,380.6
2024-01-15,onion,Nagercoil,407.1
2024-01-15,onion,Tuticorin,380.2
2024-01-15,onion,Tenkasi,345.9
2024-01-15,carrot,Tirunelveli,224.5
2024-01-15,carrot,Madurai,176.6
2024-01-15,carrot,Nagercoil,190.9
2024-01-15,carrot,Tuticorin,202.3
2024-01-15,carrot,Tenkasi,199.8
2024-01-15,cabbage,Tirunelveli,187.1
2024-01-15,cabbage,Madurai,177.2
2024-01-15,cabbage,Nagercoil,169.9
2024-01-15,cabbage,Tuticorin,228.8
2024-01-15,cabbage,Tenkasi,184.4
2024-01-15,potato,Tirunelveli,285.4
2024-01-15,potato,Madurai,322.8
2024-01-15,potato,Nagercoil,307.5
2024-01-15,potato,Tuticorin,312.3
2024-01-15,potato,Tenkasi,344.2
2024-01-15,beans,Tirunelveli,156.0
2024-01-15,beans,Madurai,141.9
2024-01-15,beans,Nagercoil,173.9
2024-01-15,beans,Tuticorin,188.0
2024-01-15,beans,Tenkasi,175.7
2024-01-15,okra,Tirunelveli,192.9
2024-01-15,okra,Madurai,219.7
2024-01-15,okra,Nagercoil,242.9
2024-01-15,okra,Tuticorin,237.1
2024-01-15,okra,Tenkasi,235.5
2024-01-16,tomato,Tirunelveli,420.3
2024-01-16,tomato,Madurai,411.9
2024-01-16,tomato,Nagercoil,480.2
2024-01-16,tomato,Tuticorin,440.5
2024-01-16,tomato,Tenkasi,452.8
2024-01-16,brinjal,Tirunelveli,275.1
2024-01-16,brinjal,Madurai,275.9
2024-01-16,brinjal,Nagercoil,273.8
2024-01-16,brinjal,Tuticorin,252.6
2024-01-16,brinjal,Tenkasi,244.7
2024-01-16,onion,Tirunelveli,392.7
2024-01-16,onion,Madurai,388.8
2024-01-16,onion,Nagercoil,403.8
2024-01-16,onion,Tuticorin,399.7
2024-01-16,onion,Tenkasi,368.8
2024-01-16,carrot,Tirunelveli,242.7
2024-01-16,carrot,Madurai,235.3
2024-01-16,carrot,Nagercoil,233.8
2024-01-16,carrot,Tuticorin,265.0
2024-01-16,carrot,Tenkasi,260.9
2024-01-16,cabbage,Tirunelveli,211.8
2024-01-16,cabbage,Madurai,209.3
2024-01-16,cabbage,Nagercoil,219.6
2024-01-16,cabbage,Tuticorin,186.3
2024-01-16,cabbage,Tenkasi,186.6
2024-01-16,potato,Tirunelveli,343.5
2024-01-16,potato,Madurai,312.9
2024-01-16,potato,Nagercoil,341.9
2024-01-16,potato,Tuticorin,333.1
2024-01-16,potato,Tenkasi,312.9
2024-01-16,beans,Tirunelveli,165.5
2024-01-16,beans,Madurai,191.1
2024-01-16,beans,Nagercoil,166.6
2024-01-16,beans,Tuticorin,166.7
2024-01-16,beans,Tenkasi,171.6
2024-01-16,okra,Tirunelveli,251.2
2024-01-16,okra,Madurai,235.4
2024-01-16,okra,Nagercoil,249.0
2024-01-16,okra,Tuticorin,221.0
2024-01-16,okra,Tenkasi,226.0
2024-01-17,tomato,Tirunelveli,426.6
2024-01-17,tomato,Madurai,449.4
2024-01-17,tomato,Nagercoil,443.2
2024-01-17,tomato,Tuticorin,437.3
2024-01-17,tomato,Tenkasi,453.8
2024-01-17,brinjal,Tirunelveli,282.6
2024-01-17,brinjal,Madurai,269.2
2024-01-17,brinjal,Nagercoil,254.3
